,k,iteration,H,converged,R1,R2,R3,R4
86,5,4300,9.222637,,-0.033124026,2.0332456,-0.29245138,2.5969648
87,5,4350,9.153611,,-0.013566404,1.7702622,-0.1979909,2.3656733
88,5,4400,9.174704,,0.051536627,1.5627387,-0.17159605,2.2059007
89,5,4450,9.245539,,-0.04311529,1.766604,-0.34678936,2.2003927
90,5,4500,9.1941805,,-0.04663003,1.7330998,-0.35477638,2.798527
91,5,4550,9.164861,,-0.020573694,1.6062536,-0.22157764,1.883559
92,5,4600,9.189893,,0.038517825,1.7488923,-0.30206156,2.0361826
93,5,4650,9.235374,,-0.07515791,1.739786,-0.37391567,2.2456143
94,5,4700,9.224975,,-0.03831693,1.8346648,-0.32437515,2.7312362
95,5,4750,9.178337,,0.095662445,1.8762321,-0.36993647,2.2690852
96,5,4800,9.13717,,0.13787821,1.6683317,-0.19766188,2.1237524
97,5,4850,9.137379,,-0.15266237,1.7352443,-0.28834486,2.0263963
98,5,4900,9.075277,,-0.0561947,1.7640676,-0.19208527,2.0352933
99,5,4950,9.217163,,0.032166686,2.1811202,-0.3414197,1.9511659
100,5,5000,9.18598,0,-0.07404577,1.8260233,-0.36119604,2.1589506
101,6,5050,8.650378,,0.093871616,1.0464735,-0.11317968,1.3432039
102,6,5100,8.553669,,-0.040514503,0.6986336,-0.17148972,1.4441423
103,6,5150,8.596595,,-0.06831299,0.9726143,0.0065989494,1.4362613
104,6,5200,8.687011,,-0.12088276,1.012817,-0.07063627,1.332631
105,6,5250,8.607289,,-0.07173891,0.9553373,0.044062138,1.2103623
106,6,5300,8.60642,,-0.123424456,1.0121163,-0.064370155,1.0165764
107,6,5350,8.566834,,0.034289315,0.9504168,-0.00842905,1.4553572
108,6,5400,8.596738,,0.07512336,0.8278959,0.03281355,0.97079015
109,6,5450,8.448804,,-0.0373111,0.9273058,-0.04035902,0.9085865
110,6,5500,8.590495,,0.022453697,0.8887526,-0.13254213,1.1399285
111,6,5550,8.619193,,-0.12296912,0.8130026,-0.059568405,1.1643785
112,6,5600,8.605405,,0.04445982,0.86913824,-0.16764736,1.0647568
113,6,5650,8.58983,,0.030010048,0.88986063,-0.17741203,1.1488943
114,6,5700,8.66326,,-0.052012246,0.99477947,-0.16534376,1.6727057
115,6,5750,8.612509,,0.13201739,0.95058024,-0.11902809,1.0489764
116,6,5800,8.580141,,-0.003302784,0.84133554,-0.1164155,0.95318115
117,6,5850,8.119778,,-0.0054248925,0.9681971,0.08011341,0.8237212
118,6,5900,8.49108,,-0.025726032,0.8539566,-0.14864874,1.0794305
119,6,5950,8.675956,,0.024300057,1.0156549,-0.20962667,1.425989
120,6,6000,8.623814,0,-0.063151374,0.8775048,-0.16524363,1.2299215
121,7,6050,7.9693217,,-0.0145882005,0.3980233,0.058701992,0.42321613
122,7,6100,7.871502,,-0.019392831,0.311979,-0.08963251,0.6358564
123,7,6150,7.951611,,-0.02678722,0.48444098,-0.044697285,0.65826964
124,7,6200,8.003861,,-0.033120677,0.41080773,0.048541546,0.38068178
125,7,6250,7.9926257,,-0.05093602,0.4325441,-0.00393486,0.37304994
126,7,6300,7.9372716,,-0.13972814,0.42199433,0.053011417,0.28747383
127,7,6350,7.980257,,0.017084492,0.44453526,0.0045986176,0.7138009
128,7,6400,7.9808335,,0.15331033,0.36713403,0.04116869,0.39793727
